Prefix,DentalSave DS Network,,
006,DS 0.80,,
007,DS 0.80,,
009,DS 0.80,,
239,DS 0.85,,
242,DS 0.85,,
243,DS 0.85,,
246,DS 0.85,,
286,DS 0.85,,
290,DS 0.85,,
291,DS 0.85,,
292,DS 0.85,,
293,DS 0.85,,
294,DS 0.85,,
295,DS 0.85,,
296,DS 0.85,,
298,DS 0.85,,
299,DS 0.85,,
359,DS 0.85,,
360,DS 0.85,,
361,DS 0.85,,
362,DS 0.85,,
363,DS 0.85,,
364,DS 0.85,,
367,DS 0.85,,
370,DS 0.85,,
371,DS 0.85,,
373,DS 0.85,,
374,DS 0.85,,
376,DS 0.85,,
377,DS 0.85,,
378,DS 0.85,,
380,DS 0.85,,
382,DS 0.85,,
383,DS 0.85,,
384,DS 0.85,,
385,DS 0.85,,
386,DS 0.85,,
387,DS 0.85,,
388,DS 0.85,,
389,DS 0.85,,
390,DS 0.85,,
391,DS 0.85,,
392,DS 0.85,,
393,DS 0.85,,
394,DS 0.85,,
395,DS 0.85,,
396,DS 0.85,,
397,DS 0.85,,
413,DS 0.85,,
414,DS 0.85,,
460,DS 0.85,,
461,DS 0.85,,
465,DS 0.85,,
466,DS 0.85,,
467,DS 0.85,,
469,DS 0.85,,
470,DS 0.85,,
471,DS 0.85,,
472,DS 0.85,,
473,DS 0.85,,
474,DS 0.85,,
475,DS 0.85,,
476,DS 0.85,,
478,DS 0.85,,
479,DS 0.85,,
500,DS 0.85,,
501,DS 0.85,,
502,DS 0.85,,
504,DS 0.85,,
505,DS 0.85,,
506,DS 0.85,,
507,DS 0.85,,
508,DS 0.85,,
510,DS 0.85,,
511,DS 0.85,,
512,DS 0.85,,
513,DS 0.85,,
514,DS 0.85,,
515,DS 0.85,,
516,DS 0.85,,
520,DS 0.85,,
521,DS 0.85,,
522,DS 0.85,,
523,DS 0.85,,
524,DS 0.85,,
525,DS 0.85,,
526,DS 0.85,,
527,DS 0.85,,
528,DS 0.85,,
567,DS 0.85,,
570,DS 0.85,,
571,DS 0.85,,
572,DS 0.85,,
573,DS 0.85,,
574,DS 0.85,,
575,DS 0.85,,
576,DS 0.85,,
577,DS 0.85,,
580,DS 0.85,,
582,DS 0.85,,
583,DS 0.85,,
584,DS 0.85,,
586,DS 0.85,,
587,DS 0.85,,
588,DS 0.85,,
680,DS 0.85,,
681,DS 0.85,,
683,DS 0.85,,
684,DS 0.85,,
685,DS 0.85,,
686,DS 0.85,,
687,DS 0.85,,
688,DS 0.85,,
689,DS 0.85,,
690,DS 0.85,,
691,DS 0.85,,
692,DS 0.85,,
693,DS 0.85,,
716,DS 0.85,,
717,DS 0.85,,
718,DS 0.85,,
719,DS 0.85,,
720,DS 0.85,,
721,DS 0.85,,
722,DS 0.85,,
723,DS 0.85,,
724,DS 0.85,,
725,DS 0.85,,
726,DS 0.85,,
727,DS 0.85,,
728,DS 0.85,,
729,DS 0.85,,
730,DS 0.85,,
731,DS 0.85,,
734,DS 0.85,,
735,DS 0.85,,
736,DS 0.85,,
737,DS 0.85,,
738,DS 0.85,,
739,DS 0.85,,
740,DS 0.85,,
741,DS 0.85,,
743,DS 0.85,,
744,DS 0.85,,
745,DS 0.85,,
746,DS 0.85,,
747,DS 0.85,,
748,DS 0.85,,
749,DS 0.85,,
832,DS 0.85,,
833,DS 0.85,,
834,DS 0.85,,
836,DS 0.85,,
838,DS 0.85,,
840,DS 0.85,,
842,DS 0.85,,
843,DS 0.85,,
844,DS 0.85,,
845,DS 0.85,,
846,DS 0.85,,
847,DS 0.85,,
050,DS 0.90,,
051,DS 0.90,,
052,DS 0.90,,
053,DS 0.90,,
054,DS 0.90,,
056,DS 0.90,,
057,DS 0.90,,
058,DS 0.90,,
059,DS 0.90,,
153,DS 0.90,,
154,DS 0.90,,
155,DS 0.90,,
157,DS 0.90,,
158,DS 0.90,,
159,DS 0.90,,
160,DS 0.90,,
161,DS 0.90,,
162,DS 0.90,,
163,DS 0.90,,
166,DS 0.90,,
167,DS 0.90,,
168,DS 0.90,,
169,DS 0.90,,
170,DS 0.90,,
171,DS 0.90,,
172,DS 0.90,,
173,DS 0.90,,
174,DS 0.90,,
175,DS 0.90,,
176,DS 0.90,,
178,DS 0.90,,
179,DS 0.90,,
182,DS 0.90,,
186,DS 0.90,,
187,DS 0.90,,
188,DS 0.90,,
224,DS 0.90,,
225,DS 0.90,,
226,DS 0.90,,
227,DS 0.90,,
228,DS 0.90,,
229,DS 0.90,,
230,DS 0.90,,
231,DS 0.90,,
232,DS 0.90,,
233,DS 0.90,,
234,DS 0.90,,
238,DS 0.90,,
240,DS 0.90,,
241,DS 0.90,,
244,DS 0.90,,
245,DS 0.90,,
247,DS 0.90,,
248,DS 0.90,,
249,DS 0.90,,
250,DS 0.90,,
251,DS 0.90,,
252,DS 0.90,,
253,DS 0.90,,
254,DS 0.90,,
255,DS 0.90,,
256,DS 0.90,,
257,DS 0.90,,
258,DS 0.90,,
259,DS 0.90,,
260,DS 0.90,,
261,DS 0.90,,
262,DS 0.90,,
263,DS 0.90,,
264,DS 0.90,,
265,DS 0.90,,
266,DS 0.90,,
267,DS 0.90,,
268,DS 0.90,,
270,DS 0.90,,
271,DS 0.90,,
272,DS 0.90,,
273,DS 0.90,,
274,DS 0.90,,
275,DS 0.90,,
276,DS 0.90,,
277,DS 0.90,,
278,DS 0.90,,
279,DS 0.90,,
280,DS 0.90,,
281,DS 0.90,,
282,DS 0.90,,
283,DS 0.90,,
284,DS 0.90,,
285,DS 0.90,,
287,DS 0.90,,
288,DS 0.90,,
289,DS 0.90,,
297,DS 0.90,,
350,DS 0.90,,
351,DS 0.90,,
352,DS 0.90,,
354,DS 0.90,,
355,DS 0.90,,
356,DS 0.90,,
357,DS 0.90,,
358,DS 0.90,,
365,DS 0.90,,
366,DS 0.90,,
368,DS 0.90,,
369,DS 0.90,,
372,DS 0.90,,
375,DS 0.90,,
379,DS 0.90,,
381,DS 0.90,,
400,DS 0.90,,
401,DS 0.90,,
402,DS 0.90,,
403,DS 0.90,,
404,DS 0.90,,
405,DS 0.90,,
406,DS 0.90,,
407,DS 0.90,,
408,DS 0.90,,
409,DS 0.90,,
410,DS 0.90,,
411,DS 0.90,,
412,DS 0.90,,
415,DS 0.90,,
416,DS 0.90,,
417,DS 0.90,,
418,DS 0.90,,
420,DS 0.90,,
421,DS 0.90,,
422,DS 0.90,,
423,DS 0.90,,
424,DS 0.90,,
425,DS 0.90,,
426,DS 0.90,,
427,DS 0.90,,
433,DS 0.90,,
437,DS 0.90,,
438,DS 0.90,,
439,DS 0.90,,
449,DS 0.90,,
456,DS 0.90,,
457,DS 0.90,,
463,DS 0.90,,
464,DS 0.90,,
468,DS 0.90,,
477,DS 0.90,,
550,DS 0.90,,
553,DS 0.90,,
555,DS 0.90,,
556,DS 0.90,,
557,DS 0.90,,
558,DS 0.90,,
559,DS 0.90,,
560,DS 0.90,,
561,DS 0.90,,
562,DS 0.90,,
563,DS 0.90,,
564,DS 0.90,,
565,DS 0.90,,
566,DS 0.90,,
581,DS 0.90,,
585,DS 0.90,,
590,DS 0.90,,
591,DS 0.90,,
592,DS 0.90,,
593,DS 0.90,,
594,DS 0.90,,
595,DS 0.90,,
596,DS 0.90,,
597,DS 0.90,,
598,DS 0.90,,
599,DS 0.90,,
634,DS 0.90,,
635,DS 0.90,,
636,DS 0.90,,
637,DS 0.90,,
638,DS 0.90,,
639,DS 0.90,,
644,DS 0.90,,
645,DS 0.90,,
646,DS 0.90,,
647,DS 0.90,,
648,DS 0.90,,
650,DS 0.90,,
653,DS 0.90,,
654,DS 0.90,,
655,DS 0.90,,
656,DS 0.90,,
657,DS 0.90,,
703,DS 0.90,,
704,DS 0.90,,
705,DS 0.90,,
706,DS 0.90,,
707,DS 0.90,,
708,DS 0.90,,
710,DS 0.90,,
711,DS 0.90,,
712,DS 0.90,,
713,DS 0.90,,
714,DS 0.90,,
754,DS 0.90,,
755,DS 0.90,,
756,DS 0.90,,
757,DS 0.90,,
758,DS 0.90,,
759,DS 0.90,,
763,DS 0.90,,
764,DS 0.90,,
765,DS 0.90,,
766,DS 0.90,,
767,DS 0.90,,
768,DS 0.90,,
769,DS 0.90,,
778,DS 0.90,,
779,DS 0.90,,
780,DS 0.90,,
781,DS 0.90,,
782,DS 0.90,,
783,DS 0.90,,
784,DS 0.90,,
785,DS 0.90,,
788,DS 0.90,,
789,DS 0.90,,
790,DS 0.90,,
791,DS 0.90,,
792,DS 0.90,,
793,DS 0.90,,
794,DS 0.90,,
795,DS 0.90,,
796,DS 0.90,,
797,DS 0.90,,
798,DS 0.90,,
799,DS 0.90,,
820,DS 0.90,,
821,DS 0.90,,
822,DS 0.90,,
823,DS 0.90,,
824,DS 0.90,,
825,DS 0.90,,
826,DS 0.90,,
827,DS 0.90,,
828,DS 0.90,,
829,DS 0.90,,
830,DS 0.90,,
831,DS 0.90,,
835,DS 0.90,,
837,DS 0.90,,
841,DS 0.90,,
878,DS 0.90,,
879,DS 0.90,,
880,DS 0.90,,
881,DS 0.90,,
882,DS 0.90,,
883,DS 0.90,,
008,DS 0.95,,
030,DS 0.95,,
032,DS 0.95,,
033,DS 0.95,,
034,DS 0.95,,
035,DS 0.95,,
036,DS 0.95,,
037,DS 0.95,,
038,DS 0.95,,
039,DS 0.95,,
040,DS 0.95,,
042,DS 0.95,,
043,DS 0.95,,
044,DS 0.95,,
045,DS 0.95,,
046,DS 0.95,,
047,DS 0.95,,
048,DS 0.95,,
049,DS 0.95,,
120,DS 0.95,,
121,DS 0.95,,
122,DS 0.95,,
123,DS 0.95,,
