Prefix,DentalSave DS Network,,
327,DS 1,,
328,DS 1,,
329,DS 1,,
330,DS 1.1,,
331,DS 1.15,,
332,DS 1.15,,
333,DS 1.05,,
334,DS 1.05,,
335,DS 1,,
336,DS 1,,
337,DS 1,,
338,DS 1,,
339,DS 1.05,,
341,DS 1.05,,
342,DS 1,,
344,DS 0.95,,
346,DS 0.95,,
347,DS 1,,
349,DS 1.05,,
350,DS 0,,
351,DS 0,,
352,DS 0,,
354,DS 0,,
355,DS 0,,
356,DS 0,,
357,DS 0,,
358,DS 0,,
359,DS 0,,
360,DS 0,,
361,DS 0,,
362,DS 0,,
363,DS 0,,
364,DS 0,,
365,DS 0,,
366,DS 0,,
367,DS 0,,
368,DS 0,,
369,DS 0,,
370,DS 0,,
371,DS 0,,
372,DS 0,,
373,DS 0,,
374,DS 0,,
375,DS 0,,
376,DS 0,,
377,DS 0,,
378,DS 0,,
379,DS 0,,
380,DS 0,,
381,DS 0,,
382,DS 0,,
383,DS 0,,
384,DS 0,,
385,DS 0,,
386,DS 0,,
387,DS 0,,
388,DS 0,,
389,DS 0,,
390,DS 0,,
391,DS 0,,
392,DS 0,,
393,DS 0,,
394,DS 0,,
395,DS 0,,
396,DS 0,,
397,DS 0,,
398,DS 0,,
399,DS 0,,
400,DS 0,,
401,DS 0,,
402,DS 0,,
403,DS 0,,
404,DS 0,,
405,DS 0,,
406,DS 0,,
407,DS 0,,
408,DS 0,,
409,DS 0,,
410,DS 0,,
411,DS 0,,
412,DS 0,,
413,DS 0,,
414,DS 0,,
415,DS 0,,
416,DS 0,,
417,DS 0,,
418,DS 0,,
420,DS 0,,
421,DS 0,,
422,DS 0,,
423,DS 0,,
424,DS 0,,
425,DS 0,,
426,DS 0,,
427,DS 0,,
430,DS 0,,
431,DS 0,,
432,DS 0,,
433,DS 0,,
434,DS 0,,
435,DS 0,,
436,DS 0,,
437,DS 0,,
438,DS 0,,
439,DS 0,,
440,DS 0,,
441,DS 0,,
442,DS 0,,
443,DS 0,,
444,DS 0,,
445,DS 0,,
446,DS 0,,
447,DS 0,,
448,DS 0,,
449,DS 0,,
450,DS 0,,
451,DS 0,,
452,DS 0,,
453,DS 0,,
454,DS 0,,
455,DS 0,,
456,DS 0,,
457,DS 0,,
458,DS 0,,
459,DS 0,,
460,DS 0,,
461,DS 0,,
462,DS 0,,
463,DS 0,,
464,DS 0,,
465,DS 0,,
466,DS 0,,
467,DS 0,,
468,DS 0,,
469,DS 0,,
